Page URL,Resource URL,Resource Type,HTTP Status Code,Discovered
https://brightai.site/ai-bots.html,https://brightai.site/style.css,CSS,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/consultation.html,https://brightai.site/analytics-tracker.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/consultation.html,https://brightai.site/advanced-analytics.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/contact.html,https://brightai.site/script.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/contact.html,https://brightai.site/advanced-analytics.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/contact.html,https://brightai.site/analytics-tracker.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/contact.html,https://brightai.site/theme-controller.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/contact.html,https://brightai.site/style.css,CSS,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/data-analysis.html,https://brightai.site/styles.css,CSS,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/data-analysis.html,https://brightai.site/analytics-tracker.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/data-analysis.html,https://brightai.site/advanced-analytics.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/h/projects/interview/index.html,https://brightai.site/h/projects/interview/job-vacancies-addon.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/our-products.html,https://brightai.site/advanced-analytics.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/our-products.html,https://brightai.site/analytics-tracker.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/privacy-cookies.html,https://brightai.site/script.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/privacy-cookies.html,https://brightai.site/style.css,CSS,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/smart-automation.html,https://brightai.site/analytics-tracker.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/smart-automation.html,https://brightai.site/advanced-analytics.js,JavaScript,404,19 Jan 2026 (20:50 UTC)
https://brightai.site/terms-and-conditions.html,https://brightai.site/style.css,CSS,404,19 Jan 2026 (20:50 UTC)
