keyword;found;volume;cpc;competition;results;trend;raw
الذكاء الاصطناعي للأعمال;0;;;;;;ERROR 50 :: NOTHING FOUND 
حلول ذكاء اصطناعي للمؤسسات;0;;;;;;ERROR 50 :: NOTHING FOUND 
أتمتة الأعمال الذكية;0;;;;;;ERROR 50 :: NOTHING FOUND 
تحليل البيانات بالذكاء الاصطناعي;0;;;;;;ERROR 50 :: NOTHING FOUND 
الذكاء الاصطناعي للشركات السعودية;0;;;;;;ERROR 50 :: NOTHING FOUND 
حلول AI للمؤسسات في السعودية;0;;;;;;ERROR 50 :: NOTHING FOUND 
استشارات ذكاء اصطناعي السعودية;0;;;;;;ERROR 50 :: NOTHING FOUND 
خدمات الذكاء الاصطناعي السحابية;0;;;;;;ERROR 50 :: NOTHING FOUND 
أنظمة ذكاء اصطناعي متكاملة;0;;;;;;ERROR 50 :: NOTHING FOUND 
نماذج ذكاء اصطناعي متقدمة;0;;;;;;ERROR 50 :: NOTHING FOUND 
روبوتات دردشة ذكاء اصطناعي;0;;;;;;ERROR 50 :: NOTHING FOUND 
الذكاء الاصطناعي في الصحة;1;10;2.55;0.06;0;0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33;
الذكاء الاصطناعي في التعليم;1;880;0.77;0.29;25100000;1.00,1.00,0.45,0.24,0.62,0.45,0.16,0.30,0.30,0.55,0.62,0.45;
الأرشيف الطبي الذكي;0;;;;;;ERROR 50 :: NOTHING FOUND 
منصة توظيف ذكية;0;;;;;;ERROR 50 :: NOTHING FOUND 
وكيل ذكاء اصطناعي;0;;;;;;ERROR 50 :: NOTHING FOUND 
الذكاء الاصطناعي كخدمة;0;;;;;;ERROR 50 :: NOTHING FOUND 
AIaaS السعودية;0;;;;;;ERROR 50 :: NOTHING FOUND 
مكتبة الذكاء الاصطناعي;0;;;;;;ERROR 50 :: NOTHING FOUND 
منصات ذكاء اصطناعي بالسعودية;0;;;;;;ERROR 50 :: NOTHING FOUND 
حوكمة الذكاء الاصطناعي;1;20;1.79;0.09;0;0.14,0.14,0.14,0.43,0.14,0.43,1.00,0.14,0.71,0.14,0.43,0.43;
حلول AI السعودية رؤية 2030;0;;;;;;ERROR 50 :: NOTHING FOUND 
الذكاء الاصطناعي والتحول الرقمي;0;;;;;;ERROR 50 :: NOTHING FOUND 
التحول الرقمي في السعودية;1;320;0.33;0.18;4050000;1.00,0.81,0.54,0.44,0.81,0.54,0.24,0.24,0.29,0.66,0.54,0.44;
محلل بيانات;1;720;0.57;0.27;8220000;1.00,1.00,0.82,0.55,1.00,0.82,0.82,1.00,0.82,1.00,0.82,0.67;
علوم البيانات;1;590;0.73;0.08;27500000;0.25,0.30,0.20,0.16,0.30,0.45,0.77,1.00,0.77,0.45,0.30,0.30;
ChatGPT بالعربي;1;5400;0.14;0.35;11000000;0.05,0.07,0.16,0.16,0.11,0.16,0.36,0.82,1.00,1.00,0.82,0.82;
شات بوت;1;590;0.74;0.55;8020000;0.82,1.00,1.00,0.82,1.00,0.82,0.67,0.67,0.67,0.82,1.00,1.00;
